t [°C],Xc [dz],Ys [dz],R1 [Ω],R2 [Ω],S [m^2],d [m],C_0 [mF],α1 [V],α2 [mV]
"28,1",0.9,0.8,3800000,26000,"0,00000000116","0,0022",1,5,20
"30,1",0.8,0..7,,,,,,,
"32,1",0.8,0.7,,,,,,,
"36,0",0.7,0.6,,,,,,,
"38,2",0.6,0.6,,,,,,,
"41,1",0.6,0.6,,,,,,,
"43,1",0.5,0.5,,,,,,,
"44,5",0.5,0.5,,,,,,,
"45,3",0.5,0.5,,,,,,,
"46,5",0.4,0.4,,,,,,,
"47,7",0.4,0.4,,,,,,,
"48,7",0.3,0.2,,,,,,,
"50,1",0.1,0.1,,,,,,,
"52,1",0,0,,,,,,,
